Song Title,Streams,Daily
Santa,486956514,1803195
Rush,413947267,282747
People (feat. Ayra Starr & Omah Lay),108324908,96603
Bloody Samaritan,83341131,38967
Commas,77772456,183146
2 Sugar (feat. Ayra Starr),65263637,37428
Overloading (OVERDOSE),63289484,35214
Ngozi,60143018,74152
No love,59297485,52161
Love Don't Cost A Dime (Re-Up),58622598,47364
Sability,49641355,35924
Last Heartbreak Song (feat. Giveon),42833195,173211
Stamina,39622718,26757
Bad Vibes (feat. Seyi Vibez),31329862,104250
Rhythm & Blues,30015027,36567
Fashion Killer,27258338,11409
Big FU,23070495,11767
Comforter (feat. Ayra Starr),22875647,17891
Won Da Mo,22588022,14056
My Love (feat. Ayra Starr),19005878,19738
Girl Next Door,18367223,20727
Hypé (feat. Ayra Starr),17483540,27017
Running,16760458,7929
Bloody Samaritan (with Kelly Rowland) - Remix,15626743,7898
Beggie Beggie,15189288,13998
Away,11628164,7542
Goodbye (Warm Up)(feat. Asake),11567615,26274
Take It To The Top (Becky G & Ayra Starr),11111080,5998
You're Hired (feat. Ayra Starr),9725435,8043
Disturbing U,8940508,5160
GOOD FEELiNGS,8792171,182992
Ogogoro (with Bas & Ayra Starr),8511635,4821
Need You,7152442,4244
How Many Times,6869595,3457
PINACOLADA,6444717,50922
Bora Bora (feat. Ayra Starr),6141361,112597
Woman Commando (feat. Anitta & Coco Jones),5987310,24258
Jazzy's Song,5215012,10984
Cast (Gen Z Anthem),4498664,4566
ASE - A COLORS SHOW,4367651,945
come close (feat. Ayra Starr),4060816,3218
Lonely Refix,3747375,5125
Yeh Yeh (feat. Rema Ayra Starr & KDDO),3557659,921
Memories,3539348,1712
Sare,3253809,2076
Line Of Fire,3242587,1123
unbelievable (feat. Ayra Starr),3223682,4980
My Baby (feat. Ayra Starr) - Remix,2987920,747
Control,2980133,5662
Many Roads,2845371,3685
Options,2691454,488
Bloody Samaritan (Sun-El Musician Remix),2576910,940
Jane,2332087,1490
Karma,2328919,1337
Lagos Love Story,2298001,5802
Lonely,2208758,871
Toxic,2089695,1166
Roadside (+234 Remix) [feat. Rema & Ayra Starr],1980740,383
In The Light - Stripped Version,1901182,1411
Bridgertn,1691175,813
Birds Sing of Money,1678439,3175
Orun,1529721,2840
Runaway,1519678,319
Snitch,1507829,809
21,1457034,3326
Rush - Moody Jones Remix,1455106,620
In Between,1445230,776
Amin,1415579,826
1942 (feat. Milar),1337368,2835
DITR,1265529,506
Ase,1262991,972
Away - Lilo Remix,1237494,211
Ija,1153862,362
The Kids Are Alright,1098147,1757
Gara (feat. Ayra Starr),1020275,1962
Worth My While,1018164,259
My Love (feat. Ayra Starr & Jireel),975266,649
Big FU - Extended,965623,714
Skinny Girl Anthem,771541,452
Jamming,755012,452
Stars,713711,175
My Love (feat. Ayra Starr) - BUNT. Remix,688867,1304
Ija - TOKiMONSTA Remix,583416,79
Ooh Lala,578495,257
Rush (Sped Up),556842,937
Santa - Sped Up Version,522487,2177
You're Hired (feat. Ayra Starr) - Legendury Beatz Remix,494652,243
Sability (Sped Up),354361,485
PINACOLADA (Shaken) - Sped up,329882,4016
You're Hired (feat. Ayra Starr) - Ginchy Remix,188684,169
My Love (feat. Ayra Starr and BEAM) - Crate Classics Remix,152072,169
My Love (feat. Ayra Starr) - DJ Maphorisa Remix,138580,156

